iata_code,name,continent,iso_country,municipality
AAA,Anaa Airport,OC,PF,
AAB,Arrabury Airport,OC,AU,
AAC,El Arish International Airport,AS,EG,El Arish
AAD,Adado Airport,AF,SO,Adado
AAE,Rabah Bitat Airport,AF,DZ,Annaba
AAF,Apalachicola Regional Airport,NA,US,Apalachicola
AAG,Arapoti Airport,SA,BR,Arapoti
AAH,Aachen-Merzbrück Airport,EU,DE,Aachen
AAI,Arraias Airport,SA,BR,Arraias
AAJ,Cayana Airstrip,SA,SR,Awaradam
AAK,Buariki Airport,OC,KI,Buariki
AAL,Aalborg Airport,EU,DK,Aalborg
AAM,Malamala Airport,AF,ZA,Malamala
AAN,Al Ain International Airport,AS,AE,Al Ain
AAO,Anaco Airport,SA,VE,Anaco
AAP,Andrau Airpark,NA,US,Houston
AAQ,Anapa Vityazevo Airport,EU,RU,Anapa
AAR,Aarhus Airport,EU,DK,Aarhus
AAS,Apalapsili Airport,AS,ID,Apalapsili
AAT,Altay Air Base,AS,CN,Altay
AAU,Asau Airport,OC,WS,Asau
AAV,Allah Valley Airport,AS,PH,Surallah
AAX,Romeu Zema Airport,SA,BR,Araxá
AAY,Al Ghaidah International Airport,AS,YE,
AAZ,Quezaltenango Airport,NA,GT,Quezaltenango
ABA,Abakan Airport,AS,RU,Abakan
ABB,Asaba International Airport,AF,NG,Asaba
ABC,Albacete-Los Llanos Airport,EU,ES,Albacete
ABD,Abadan Airport,AS,IR,Abadan
ABE,Lehigh Valley International Airport,NA,US,Allentown
ABF,Abaiang Airport,OC,KI,Abaiang
ABG,Abingdon Downs Airport,OC,AU,
ABH,Alpha Airport,OC,AU,Alpha
ABI,Abilene Regional Airport,NA,US,Abilene
ABJ,Port Bouet Airport,AF,CI,Abidjan
ABK,Kabri Dehar Airport,AF,ET,Kabri Dehar
ABL,Ambler Airport,NA,US,Ambler
ABM,Northern Peninsula Airport,OC,AU,Bamaga
ABN,Albina Airport,SA,SR,Albina
ABO,Aboisso Airport,AF,CI,Aboisso
ABP,Atkamba Airport,OC,PG,Atkamba Mission
ABQ,Albuquerque International Sunport,NA,US,Albuquerque
ABR,Aberdeen Regional Airport,NA,US,Aberdeen
ABS,Abu Simbel Airport,AF,EG,Abu Simbel
ABT,Al Baha Airport,AS,SA,
ABU,Haliwen Airport,AS,ID,Atambua-Timor Island
ABV,Nnamdi Azikiwe International Airport,AF,NG,Abuja
ABW,Abau Airport,OC,PG,Abau
ABX,Albury Airport,OC,AU,Albury
ABY,Southwest Georgia Regional Airport,NA,US,Albany
ABZ,Aberdeen Dyce Airport,EU,GB,Aberdeen
ACA,General Juan N Alvarez International Airport,NA,MX,Acapulco
ACB,Antrim County Airport,NA,US,Bellaire
ACC,Kotoka International Airport,AF,GH,Accra
ACD,Alcides Fernández Airport,SA,CO,Acandí
ACE,Lanzarote Airport,EU,ES,Lanzarote Island
ACF,Brisbane Archerfield Airport,OC,AU,Brisbane
ACH,St Gallen Altenrhein Airport,EU,CH,Altenrhein
ACI,Alderney Airport,EU,GG,Saint Anne
ACJ,Anuradhapura Air Force Base,AS,LK,Anuradhapura
ACK,Nantucket Memorial Airport,NA,US,Nantucket
ACL,Aguaclara Airport,SA,CO,Aguaclara
ACM,Arica Airport,SA,CO,Arica
ACN,Ciudad Acuña New International Airport,NA,MX,Ciudad Acuña
ACO,Ascona Airport,EU,CH,Ascona
ACP,Sahand Airport,AS,IR,Maragheh
ACR,Araracuara Airport,SA,CO,Araracuara
ACS,Achinsk Airport,AS,RU,Achinsk
ACT,Waco Regional Airport,NA,US,Waco
ACU,Achutupo Airport,NA,PA,Achutupo
ACV,California Redwood Coast-Humboldt County Airport,NA,US,Arcata/Eureka
ACX,Xingyi Airport,AS,CN,Xingyi
ACY,Atlantic City International Airport,NA,US,Atlantic City
ACZ,Zabol Airport,AS,IR,
ADA,Adana Airport,AS,TR,Adana
ADB,Adnan Menderes International Airport,AS,TR,İzmir
ADC,Andakombe Airport,OC,PG,Andekombe
ADD,Addis Ababa Bole International Airport,AF,ET,Addis Ababa
ADE,Aden International Airport,AS,YE,Aden
ADF,Adıyaman Airport,AS,TR,Adıyaman
ADG,Lenawee County Airport,NA,US,Adrian
ADH,Aldan Airport,AS,RU,Aldan
ADI,Arandis Airport,AF,NA,Arandis
ADJ,Amman-Marka International Airport,AS,JO,Amman
ADK,Adak Airport,NA,US,Adak Island
ADL,Adelaide International Airport,OC,AU,Adelaide
ADM,Ardmore Municipal Airport,NA,US,Ardmore
ADN,Andes Airport,SA,CO,Andes
ADO,Andamooka Airport,OC,AU,
ADP,Ampara Airport,AS,LK,Ampara
