resp,income,giving
1,49060,458
2,454440,9638
3,51373,11228
4,237683,11316
5,50572,628
6,38122,552
7,328515,9854
8,384825,11035
9,55534,9255
10,417465,536
11,278724,363
12,51306,406
13,234153,670
14,278193,11693
15,252697,500
16,450160,396
17,374501,531
18,261071,10449
19,49605,9822
20,44681,733
21,229955,10964
22,42576,585
23,46752,9496
24,59253,9042
25,318105,11027
26,238018,500
27,322692,496
28,232015,531
29,313654,362
30,44558,8841
31,51443,9692
32,59010,10213
33,244057,9614
34,47024,454
35,47544,349
36,288739,8906
37,51518,661
38,49847,10576
39,47892,683
40,45913,8864
